cancel_order,change_order,change_shipping_address,check_cancellation_fee,check_invoices,check_payment_methods,check_refund_policy,complaint,contact_customer_service,contact_human_agent,create_account,delete_account,delivery_options,delivery_period,edit_account,get_invoice,get_refund,newsletter_subscription,payment_issue,place_order,recover_password,registration_problems,review,set_up_shipping_address,switch_account,track_order,track_refund
,"i would like to change my fucking purchase  , tell me where to do it",i wanna change my shipping address,"I need help checking the cancellation fee, please",I need help viewing my bills,"I want to view your payment methods, what can I do?",do I get a full refund if I cancel my tickets?,where can i make a complaint ?,i wanna see the mail of customer service,"I don't understand you, talk to a person","i dont have an onlineaccount, create one",i want to delete my user account,how can I view the options for delivery?,can you tell me how soon I can expect my ticket?,I need help updating the information on my profile,"i would like to ask for information about getting a bill, please","the event was postponed, what can I do?",what information do you have about subscribing to the newsletter ?,"an error pops when I attempt to make a payment, what can I do?",,"I can't remember my password, I need help recovering it",I have problems creating a profile,"I'm happy with the service, how can I lodge an opinion?"," where i could set up my shipping address, please?","I want to use my other profile, what should I do to change them?", how I could view the status of my purchase?,"I want to know the status of my refund, can you help me?"
,"I bought something, help me modify my order",can you  where I can update my shipping address?,information about the cancellation fees, to check my invoice?,help me view your payment options,where do I view your reimbursement policy?,"i want to submit a complaint, can u help me?","i need infoprmation, can i speak with customer support?",i wanna speak with someone,can u ask  to create a user account?," if i could delete my online account, please",where to see the options for delivery,when is my ticket going to arrive?,I want to edit the information on my profile,tell me how I can request some bills,"the concert was postponed, obtain a refund",i would like to get information about subscribing to the fucking newsletter,"please, can you  how I can report problems making a payment?",,"I can't remember my account password, what do I have to do?",I found problems when trying to open a account,"I'm happy with the service, what should I do to file an opinion?","I have no shipping address and I'd like to set one up, please","I would like to use my other fucking online account, can you switch them, lpease?", how to know where my  delivery is?,can I check the status of my reimbursement ?
,"I wanna modify my order, can you tell me where I can do it?","i wanna modify my shipping address, what do i have to do?",how to view the cancellation penalties,how can I see my invoice?,"please, could u  what your fucking payment options are?","i wanna see your refund policy, whar do i have to do?","I don't lpike the ervice, what should I do to submit a consumer complaint?","i want information, can u call customer service?","you aren't helping, can I speak with a human?","I have no account, can you open one?","I want to delete my profile, where can I do it?","i want to check the optrions for delivery, what do i have to do?",can you show me the delivery perod for my ticket?, if i csn make changes to the information on my profile?,how can I see some invoices ?,I need help requesting a reimbursement," if I could subscribe to the fucking newsletter, please?","I have an issue when trying to pay for my online order, I need help reporting it",,"my user account's been hacked, how can I get it back?",I had az problem with the registration,help me write a review,"I don't have a shipping address, what should I do to set one up?","I want to use my other account, I need help switching them",how can I view the status of my order?,"i want to know the status of my refund, i need help tracking it"
," to make a change in my purchase, please?",where can I update my shipping address?,I need informatoin about the cancellation penalty,information about my invoice,I need help checking your payment methods,can you give me information about your refund policy?,I'm discontent with the service and I want to make a consumer complaint,"I need information, help me send an email to Customer Support",I don't understand you and I'd like to talk to fucking someone,"i wanna know if i could create several online accounts with the same email address, please",were do I cancel my account?," to show me information about the delivery options, please", hhow long the delivery takes,"I want to update my profile, how can I do it?", how to obtain some bills,"the game was cancelled, can you help me?",can you tell me if there's a newsletter I can receive?,"I want to solve an issue with my payment, can you help me?",,"my account was hacked, can I get it back?",I can't sign up,"I'm happy with the sservice, file an opinion",,"i want to use my other account, how do i change them?",how do i know where my package is?,"i want to view the statu of my refund, what can i do?"
,"please,  if i could change my fucking order",where to make changes to my shipping address,how can I check the cancellation penalties?,help me see my bills,can you show me  information about your payment options?, how i can view their refund policy,"I want to file a consumer complaint for a service, what do I have to do?","I need information, call Customer Support","you're not hepling , how can I speak with a human?",can i own several user accounts?, where to delete my user account,how to view the options for delivry,i want to know how fast i can expect my tickets to arrive,"I want to edit the information on mny profile, how can I do it?",I want information about seeing a bill,can I receive a reimbursement?,I want to know where to subscribe to the newsletter, to notify problems paying,,"my account's been hacked, what do I have to do?",I found issues signing up,I want tol leave a review for a service,,"i wanna use my other profile, i need help changing them",help  me cfheck my shipments,has my refund been processed?
,"I bought a product, can I modify my order?","I'd like to modify my shipping address, could you help me?",show me the cancellation penalties,can i view my bills?," if i could make a payment with Amex, please?",i wanna check your money back policy,"im not happy with the service, can u make a consumer complaint?","please, could u  to speak with fucking customer service?","I don't understand you, what do I have to do to contact a person?",I want to know if I can have several profiles, how i can delete my online account?,can you find information about the ticket delivery options ?,i wanna know how soon i can expect my tickets,can I make changes to the information on my profile?,"please,  if I could get a fucking bill?","the game was cancelled, how do I request a refund?",how to subscribe to the newsletter,"I have an issue paying with card, how do I inform of it?",,"I can't remember my password, what do I have to do to retrieve it?",I found issus registering,"I'm happy with the service, how do I file an opinion?",,"I want to use my other user account, switch them",can I check my order?,where do I check the status of my reimbursement?
,"I want to change my purchase, can you show me some information?", to edit my shipping address,I need help viewing the cancellation fee,"I'd like to view my invoices, could you help me?",can you tell me if I can pay with Amex?,how can I see your refund policy?,"i want to make a complaint for a service, what should i do?","I want information, can I sernd an email to Customer Support?","I don't understand you, can you contact a human agent?",can you  tell me if I can register more than one online accoun with the same email?,I changed my mind and I want to remove my usert account, how i can view the delivery options?,can you provide information about the delivery period for my ticket?,help me update the information on my profile, where to download a bill?,"the game was cancelled, what can I do to request a reimbursement?",tell me how I can receive the newsletter,"I get an error message when I attempt to make a payment for my online order, what can I do?",,"please, could u  how i can retrieve my account password?",I found issues while registering,"please,  where i could write a fucking comment?",,where to change to another user account,"I want to track my packages, can you tell me where I can do it?",I need help viewing the status of my refund
,"I purchased an item, what can I do to change my purchase?",i need help changing my shipping address,help me view the  cancelation penalties,"I lost my invocie, can I see it?","I want to view your payment options, what can I do?"," how to see their fucking refund poliyc, please",i dont like the service and i want to lodge a consumer complaint,"I want information, how can I call Customer Support?",I can't understand you and I want to speak with someone,"I don't have a account, I need help opening one","i want to remove my fucking profile, how can i do it?"," where I can see the fucking options for ticket delivery, please","can u provide information about the delivery period for my tickets, please?",how do I edit my profile?,i want to obtain  some bills,"can you  if I can obtain a reimbursement, please?",i want to know about receiving the newsletter, how I could notifyy a problem making a payment ?,,"my user account was hacked, what do i have to do to get it back?",I had an issue with the registration,"I'm happy with the service, I need help filing a review",,how to change to another account,tell me where I can track my shipments,help me see the status of my refund
,I made a mistake asnd I'd like to change my order,how do i modify my shipping address?, how to see the cancellation penalties?,how do i check my invoices?,help me see your payment options,help me see your money back guarantee,can i make a consumer complaint?,i need information and i wanna contact customer support,"you aren't helping, what should I do to speak with a human agent?",can you tell me if I can register two online accounts with the same email?,"i dont want my account, help me close it",can i view the delivery options?,can you tell me how long the delivery takes?,how do I modify the information on myprofile?,what information do you have about seeing an invoice?,"the event was postponed, request a refund", if theres a newsletter to keep me up-to-date?," how to report payment issues, please?",,"someone stole my password, what can I do to reset it?",I'm having problems signing u,"i am happy with the service, help me lodge a review",,i wanna change to another user account,can I see the status of my order?,"I want to check the status of my reimbursement, what can I do?"
,"i ordered a product, i nede help modifying my order",I want to edit my shipping address,"I want to check the cancellation penalty, what do I have to do?","I didn't receive my invoices, how can I view them?","I want to see your payment options, what should I do?",iminterested in your refund policy,"i want to file  a consumer complaint, can u help me?",I want to see the hours of Customer Support,"your not helping, what do I have to do to speak with someone?","I haven't got a profile, what can I do?","I changed my mind, cancel my account","i want to see the options for ticket delivery, what should i do?", about the delivery period for my tickets?,"I want to edit my profile, how can I do iy ?",i want to ask for information about seeing a bill,"I need a reimbursement, can I get one?",tell me if there's a newsletter to stay informed, if i can solve a payment issue?,,"I can't remember my password, recover it",I found an issue while opening an account,"I want to file a comment, what should I do?",,"I want to use mmy other user account, how do I change them?", if i can track my delivery?, how to check the status of my reimbrsement
,where to change my order,i need help updating my shipping address,how can i view the cancellation fee?,"i lost my invoice, how can i view it?",where do I check yor payment options?,"i wanna see your reimbursement policy, what can i do?","I'm not happy with the service, can you make a complaint?","I would like to see the fucking email to contact Customer Support, please","i dont understand you, can i speak with a human agent?","ive got no account, what do i have to do?","can you  if I can cancel my online account, please?",i want to check the options for delivery,i want to see the delivery period for my ticket,how to make changes to my profile,"please, could u request some invoices?","the event was postponed, how do i request a reimbursement?",can you  if they have a newsletter i can subscribe to?,"I got an error message when I tried to make a payment, but I was charged anyway and I want to report it",,"my profile was hacked , how can i recover it?",I'm having an issue when trying to create an account,"i am happy with the service, i need help lodging a comment",,I need help changing to another account,tell me how I can check my package,how do I check the status of my reimbursement?
,"I purchased something, can i modify my purchase?",where do i modify my shipping address?, to show me information about the cancellation penalty?,"I lost my bill, how do I giew it?",how to see your payment options,where do I check your reimbursement policy?,where can I lodge a consumer complaint?,can you tell me the email address of Customer Service?,is there any human agent available?,can you tell me if I can create two online accounts with a single email?,"I want to remove my user account, how can I do it?",how do I view the delivery options?,how soon can I expect my tickets?,how can I edit the information on my profile?,I want information about obtaining some invoices,the event was postponed and I would like to obtain a refund,"I want to receive the newsletter, can you tell me how I can do it?","I got an error when I tried to pay, but I was charged anyway, can you notify it?",,"my user account was hacked, what should I do to recover it?",I'm having a problem signing up,"I am happy with the service, could you file a comment, please?",,how can I change to another profile?,how to chcek my shipments,how can I view the status of my reimbursement?
,"I purchased a product, can I modify my order?",where can I edit my shipping address?, if i can see the cancellation penalties,"I can't find my invoices, can I check them?",information about your payment methods,"I am interested in their fucking money back guarantee,  about it, please","I don't like the service, what should I do to lodge a consumer complaint?","I need information, I need help talking to Client Service","u are not helping, i need help talking to a human agent","I want an account, how can I open one?","I don't want my profile, help me remove it",I need help checking the ticket delivery options,tell me how long it takes for tickets to arrive,can I modify my profile?,where to request a bill,"the game was postponed and i wanna get a fucking reimbursement, please",tell me if I can subscribe to the newsletter,"i got an error when i attempted to make a payment, but i was charged anyway, help me inform of it",,my account's been hacked and I want to recover it,I had regiwtration problems,"I want to lodge an opinion, what can I do?",,"please,  if i can switch to another online account?","can you  if I could check my fucking order, please?",how can I check the status of my reimbursement?
,what can you tell me about modifying my order?,how to change myshipping address, if i can check the cancellation penalty,I didn't receive my invoices and I want to view them,"please,  if I can pay with Master Card",tell me if I get a full refund in case I cancel my ticket,"i dont like the service, what should i do to file a complaint?",can I call Customer Service?,"I can't understand you, can you talk to a human?","I need an online account, what can I do to create one?",help me delete my online account," where to view the delivery options, please?",I want to know how long the delivery takes,how to update my profile,"I want to obtain a bill, tell me how to do it", where i can get a refund?,tell me if you have a newsletter to keep me informed,"an error message pops when I attempt to pay, what should I do?",,my account was hacked and i want to recover it,I fonud an issue signing up,where do I write a review for a service?,,"I want to use my other account, help me switch them",where can I check the status of my order?,"i want to check the status of my refund, what can i do?"
,"I purchased a product, can I change my order?",how do I make changes to my shipping address?,"I want to view the cancellation penalty, what do I have to do?","please,  if I could view my fucking invoices?","i wanna check your payment methods, what can i do?",I don't know anything about your refund policy,where can I file a complaint for a service?,"i need information, can u talk to fucking client service?","you aren't gelping, what do I have to do to speak with someone?", where to create a profile,where can I cancel my account?, how i can see the options for ticket delivery,I want to knpw how soon I can expect my ticket,"please,  how to modify the information on my profile?","I want to see some invoices, can you tell me how I can do it?","the show was cancelled, help me obtain a reimbursement","could you tell me if there is a newsletter I could subscribe to, please?",where can I report a problem  making a payment?,,I need help recovering my account password,I found problems while creating a profile,"I want to submnit a comment, what should I do?",,"I want to use my other online account, change them","I wanna track my shipments, can you tell me how to do it?","I want to know the status of my reimbursement, track it"
,modkfy my order, how to make changes to my shipping address,"I want to view the cancellation penalty, what should I do?","i want to check my invoice, can u help me?", where to see their payment methods?," how I could see their reimbursement policy, please",I need help lodging a complaint for a service,"I have a question, what should I do to send an email to Customer Service?","I don't understand you, help me contact a human",can i create an online account?,"I changed my mind, can I close my account?", how to check the ticket delivery options,I need information about the delivery period for my tickets,can Iedit my profile?,can you send me some bills?,whewre to obtain a reimbursement,"I wanna receive the newsletter, can you show me some information?","i wanna notify a payment issue, what should i do?",,I can't remember my account password and I'd like to recover it,I had a problem while signing up,how do I write an opinion?,,"i wanna use my other profile, can u change them, please?",I need help checking my shipments,"i wanna check the status of my reimbursement, can u help me?"
,"I bought a product, how do I change my order?",how can I change my shipping address?,Ineed help viewing the canclelation penalties,"I lost my bills, can I view them?",I want to view your payment methods, fi I get an full refund in case I cancel my ticket,"im discontent with  the service, i need help making a complaint",can you show me the phone number to contact Customer Service?,"you aren't helping, talk to a human",can I create more than one user account with the same email address?,"could u  where i can close my profile, please?",can u give me information about the delivery options?,can you tell me when my tickets are gonna arrive?,i want to update the information on my profile, if I can request some bills,"the fucking show was postponed, how could I get a refund?",do you have a newsletter to keep me informed?,"I got an error when I tried to pay, but I was charged anyway, what should I do to inform of it?",,"I can't remember my password, how do I reset it?",I found a problem when trying to create a profile,"could u  if i could leave a review, please?",,"please,  how I can switch to another online account?",can I view the status of my uprchase?,"I want to check the status of my refund, what can I do?"
,"I ordered something, what can I do to change my purchase?",,can you show me information about the cancellation penalties?,"I want to view my bill, can you help me?",I want to know if I can make a payment with Amex,i want to check your reimbursement policy,"i wanna lodge a consumer complaint for a service, what should i do?","i have a question, could i speak with customer support?",I don't understand you and I want to talk to someone,"I need a sure account, how can I open one?","I don't want my profile, remove it",help me view the delivery options,I would like to see the fucking delivery period for my ticket,I need help modifying the information on my profile,get some invoices,"the game was postponed, help me obtain a reimbursement",I want to know if you have a newsletter to keep me informed,"please, can you  where I can inform of fucking payment problems?",,"I can't remember my password, can you recover it?",I had problems creating a profile,"I want to submit a  review, what should I do?",,"I want to use my other profile, help me switch them","can you  if my package is on its way, please?",tell me if my reimbursement was processed
,"I ordered an item, how do I change my order?",,help me check the cancellation fee,"I didn't receive my bills, check them",where do I view your payment methods ?,"i want to see your refund policy, what do i have to do?",help me make a complaint, how to talk to client service?,u are not helping and i want to contact someone,"I don't bave an account, how can I open one?","I changed my mind, can you delete my online account?","I want to see the ticket delivery options , can you help me?",i want to know when my tickets are gonna arrive,"I want to modify the information on my profile, how can I do it?",tell me ifI can get some bills,"the show was cancelled, get a refund",can you tell me if there's a newsletter to keep me informed?,"I got an error when I tried to make a payment, but I was charged anyway, how can I inform of it?",,"i lost my account password and i wanna reset it, please",I had a problem when trying to create a profile,"I want to lodge a review for a service, what can I do?",,"i wanna use my other account, what do i have to do to switch them?","I want to see the status of my purchase, what can I do?","i wanna see the status of my refund, what should i do?"
,could u  how I can modify my fucking purchase?,,where can I view the cancellation fee?,how to view my invoice,i want to know if i can make a payment with Visa,can you tell me if service fees are refundable?,where do I file a complaint for a service?,I want to see the phone number of Client Service,"I can't understand you, can I speak with a human?",tell me if I can register more than one user account with a single email,"I want to remove my user account, where can I do it ?",where can I view the options for delivery?, whats the fucing delivery period for my ticket?, how i can update my profile?,i wanna know how to see some invoices,"the game was postponed, what should I do to get a refund?",i wanna know if you have a newsletter I can receive,can i report an issue paying?,,can I retrieve my password?,I had issues opening an account,im happy with the service and i wanna submit a comment,,i wanna change to another online account,I need help checking my deliveried,"I want to track my reimbursement, what should I do?"
,I want to know where I can modify my purchase,,"I want to see cancellation fees, what do I have to do?","I lost my invoice, can you check it?",can you give me information about your payment methods?, how i can see their money back policy,help me lodge a complaint,I'd like to see the email address of the Customer Service,"you aren't helping, I need help speaking with a human","I've got no user accounht, I need help registering","I changed my mind, what can I do to remove my user account?",can you give me information avout the options for ticket delivery?,could u  for information about the fucking delivery period?,how to modify the information on my proflie,"id like to see a fucking invoice, tell me where to do it, please",the event was postponed and I want to request a reimbursement,"please, could u  if there's a fucking newsletter to stay up-to-date?",how do i report problems with my payment?,,"my user account's been hacked, how do I get it back?",I have an issue registering,can i leave a review?,,"iwant to use my other account, can u change them?",can you track my orders?,where do I view the status of my refund ?
,i want to know how to nodify my order,,I want to check the cancellation fee,"I can't find my bills, show them",how dl i view your payment methods?,I'm interested in your money back guaranree and I want to know about it,"I'm not happy with the service, how can I make a consumer complaint?",I have a question and I want to talk to Client Service,"I don't ujnderstand you, how can I contact a person ?","I don't have an online account, open one",I changed my mind and I want to remove myonoine account,where can I check the options for delivery?,show me the delivery period for my tickets,i wanna make changes to my profile,tell me about seeing some invoices,I need help receiving a refund,can you tell me how to subscribe to the newsletter?,"I got an error message when I tried to make a payment, but I was charged anyway, I need help informing of it",,"i forgot my password, can u retrieve it?",I had issues while signing up,"I'm happy with the service, can I make an opinion?",,how to switch to another profile,tell me where I can track my deliveries,can u show me the status of my reimbursement?
,"I bought something, I need help changing my order",,I want information about the cancellation penalties,"I can't fidn my bills, help me view them","I want to ese your payment options, what do I have to do?","I want to see your money back policy, can you help me ?","I don't like the service, what should I do to file a consumer complaint?",is Customer Support available?,"I do not understand you, could you contact a person?",can i create more than one profile with a single email?,how to delete my account,"I want to view the fucking ticket delivery options, what do I have to do, please?",can u provide information about the delivery period?,I need help updating my profile,can you tell me how I can get some bills?,"I need a refund, request one","I want to receive the newsletter, can you tell me how to do it?","I have a problem making a payment , how can I report it?",,"my profile was hacked, can you recover it?",I found issues when trying to create a profile,"I sould like to make a fucking opinion, what do I have to do?",, if I could change to another account?,help me check my packages,"I want to know the status of my reimbursement, how can I track it?"
, for information about modifying my order?,, to give me information about the cancellation fee,"I can't find my invoices, what ccan I do to see them?","I  want to view your payment options, what do I have to do?",how can I view your reimbursement policy?,how to lodge a complaint,"please, show me the fucking email address to contact customer support","you aren't helping, what can I do to speak with someone?",how to register,how can I delete my profile?, about the options for delivery,what's the delivery period for my tickets?,help me edit my profile,I wanna know something about obtaijing an invoice,"I need a reimbursement, what should I do?",tell me if there's a newsletter to keep me informed,"I got an error when I tried to make a payment, but I was charged anyway, help me notify it ,  please",,"I watn to reset my account password, what can I do?",Ifound an issue creating an account,"I want to file an opinion, can you help me?",,could u  how to switch to another profile?, where I can check my shipment, how i can view the status of my refund
,i made a mistake nad i wanna change my purchase,,how to check the cancellation penalty,"I can't find my bills, what do I have to do to view them?",where do i see your payment mehods?,"I want to see your money back guarantee, what can I do?","I'm discontent with the service, submit a consumer complaint","can you talk to fucking Client Service, please?","I can't understand you, can you talk to a human agtent?","I haven't got an account, how do I create one?",how can i cancel my online account?, how to view the options for ticket delivery?," how long it takes for a ticket to arrive , polease"," to edit the information on my profile, please?","I want to download somed bills, can you show me some information?","the game was postponed, what can I do?",tell me where I can receive the newsletter,where to notify problems with my payment,,"my user account's been hacked, how do I recover it?",I  found an issue opening an account,"I want to make a comment, what should I do?",,"i wanna use my other online account, how do i switch them?",how to track my orders,"I want to track my refund, what should I do?"
,I want to know if I can modify my purchase,,can i check the cancellation fees ?,"I didn't receive my bills, help me see them","I want to see your payment methods , can you help me?",howto check your money back policy,"i wanna lodge a complaint for a service, what can i do?","I need information, call Customer Service",can u talk to a human?,"please, could you tell me if i could create several user accounts with the same email address?", if I could remove my user account,"I want to check the options for delivery, what can I do?","please, could you tell me when my ticket is gonna arrive?",can I update my profile?,i need information about getting some invoices,the show was cancelled and i wanna obtain a reimbursement,"I want to subscribe to the newsletter, can you tell me how to do it?","I have an issue paying for my order, can I inform of it?",,"I forgot my oassword, can you retrieve it?",I have some problems with thge registration,"I would like to lode a comment, what do I have to do?",,"I want to use my other online account, can you change them?",can you tell me how I can track my packages?,"i wanna know the sttus of my fefund, how could i track it?"
,i wanna make a change in my purchase,,show me the cancellation fees,"i lost my bill, can i view it?",can I make a payment with Amex?,I don't know anything about your money back guarantee and I want to know about it,"I'm not happy with the service, submit a consumer complaint",I want to see the email of Customer Support,"I can't understand you, how do I talk to a person?",how to open an account,how do I delete my profile?,can you show me the options for delivery?,how long does it take for a ticket to arrive?,how to change my profile,"I want to see an invoice, can you tell me how to do it?",can I get a reimbursement?,"i want to subscribe to the newsletter, tell me how I can do it",how to solve a problem making a  payment,,"i lost my account password, what should i do to reset it?",I'm having a problem when trying to register,"I'm happy with the service, help me file an opinion",,i wanna change to another cacount,i need help checking my packages,I want to know if my refund has been processed
,"i bought a product, help me change my order",,could u  to show me information about the fucking cancellation penalties?,"I lost my invoices, what do I have to do to view them?",where can i see your payment methods?,"please,  how I could check their money abck guarantee?",help me file a complaint for a service,could you tell me the fucking phone number of customer support?,"I cannot understand you and I would like to talk to a human agent, please",can you tell me if i can create two user accounts with a single email ?,"I don't want my account, how can I close it?",where can I see the deluvery options?,tell me how long the delivery takes,how do I make changes to the information on my profile?,i wanna know how I can obtain a bill,"the show was postponed, what do I have to do to obtain a refund?",where to subscribe to the newsletter,"I got an error message when I tried to pay, but my card was charged anyway, report it",,"I forgot my password , what should I do to retrieve it?",I can't create a profile,"i am happy with the service, what should i do to make an opinion?",,"I'd like to use my other profile, what do I have to do to switch them?",i wanna know if I can track my shipment,where to check the status of my refund
,I bought an item and I want to change my order,," if I can view the cancellation penalty, please?","i can't find my bills, how can i view them?",I want to know what payment methods you accept,where do I check your money back policy?,"I want to file an complaint, what can I do?","I want information, can you talk to Customer Support?","i dont understand you, what should i do to talk to a human agent?",I want to know if I can create two profiles with the same email address,"i dont want my user account, what should i do to close it?",how can I see the ticket delivery options?,can you show me information about the delivery period for my ticket?,"I want to change my profile, how can I do it?","please, i want to know how I can download a fucking bill",I want to obtain a reimbursement,do you have a newsletter I can subscribe to?,i have a problem making a payment with card and i want to notify it,,"I lost my account password, how could I reset it?",There are some issues with the registration,"I'm happy with the service, what should I do to lodge a review?",,"i wanna use my other profile, what should i do to change them?",i want to check m order, to check the status of ny reimbursement?
,"I ordered something , how can I change my order?",,hceck the cancellation fee,"i lost my bills, could u check them, please?",I want to know if I can pay with Visa,"I want to view your money back guarantee, what should I do?", if i can lodge a complaint for a service?,I need information about the email address of the Customer Service,i wanna speak with a person,"I've got no user account, what should I do to create one?", if i can delete my user account,can you show me the options for ticket delivery?,how fast can I expect my tickets to arrive?,"please,  how to edit my profile", if I could see some fucking invoices?,could I request a refund?,do you have a newsletter to keep me up-to-date?,"I have an issue when trying to pay with card, how can I notify it?",,"I can't remember my account password, what should I do to retrieve it?",I had problems when trying to open an account,"i wantto make a comment, what do i have to do?",,"please,  if I could switch to another fucking user account?",where do I track my order?,how to view the status of my reimbursemernt
,"I made a mistake, change my order",," where i could see the cancellation fees, please?",i lost my fucking bill and i wanna view it,could u  if i can check their payment methods?,I want to view your refund policy,"I want to submit a consumer complaint, what should I do?",i want to know what the number of client service is,"you're not helping, what should I do to talk to a person?",can you tell me if I can register several online accounts with a single email address?,"I'd like to close my fucking online account, where can I d it?","I want to see the options for delivery, what do I have to do?",tell me how sono I can expect my tickets,I want to modify my profile,"i need help seeing an invoice, please","the event was cancelled, how can i get a refund?",I want to know if there's a newsletter  I can subscribe to,"I got an error message when I attempted to make a payment, but my card was charged anyway, what should I do to inform of it?",,"myt account's been hacked, get it back",I found a problem when trying to sign up,where do I write an opinion?,,"i want to use my other profile, change them, please","I want to track my order, tell me how I can do it","i want to see the status of my reimbursement, what can i do?"
,"I purchased an item, I need help modifying my purchase",," to show me the fucking cancellation fees, please","I would like to see my bill, could you help me?","please,  to find information about their payment options",can I see your money back gusrantee ?,"I'm discontent with the service, what do I have to do to file a consumer complaint?",can you show me information about the email address of the Customer Support?,"I don't understand you, how can I speak with a human?",can I register two user accounts with a single email?,can I remove my account?,how to check the ticket delivery options,can you give me information about the delivery period for my ticket?,i wantr to modify my profile,can you request some invoices?,"please,  when I will get a reimbursement",can you tell me how I can subscribe to the newsletter?,"i got an error message when i attempted to make a payment, but i was charged anyway, can u inform of it?",,my account's been hacked and I want to get it back,I found an issue registering,"I want to file a review for a service, can you help me?",,"i want to use my other account, how can i switch them?",can you tell me where I can check my order?,could u  if i can view the status of my refund?
,"please, i want to know how to modify my purchase",,"I want to see the cancellation penalty, what should I do?",I didn't receive my invoice and I want to view it,help me view your payment methods,"id like to view your money back guarantee, can u help me?","I don't like the service, how do I file a complaint?","I need information, what do I have to do to talk to Client Service?","i cant understand you, contact a person",i want to know if i can have several online accounts,"I changed my mind, can I remove my account?",where to check the delivery options,can you tell me when my ticket is gtoiing to arrive?,can I update the information on my profile?,can you telo me where to get an invoice?,the game was cancelled and i wanna request a refund,can you tell me if you have a newsletter to stay up-to-date?, how i can notify a payment problem,,my user account was hacked and I want to get it bakc,I found an issue when trying to sign up, where i can leave an opinion for a service,, to switch to another profile,"I want to check my shipments, can you tell me how I can do it?","I want to check the status of my refund, what should I do?"
,"I purchased a product, help me modify my purchase",,"I want to check camcellation fees, what should I do?","i didn't receive my invocies, could u check them?",I need information about your payment methods,I need help viewing your reimbursement policy,"I'm discontent with the service, how do I make a complaint?","I need information, how can I send an email to Customer Service?","I can't understand you, what should I do to contact someone?","I need an online account, help me createone","I want to cancel my online account, how can I do it?",I want to see the options for ticket delivery,i wanna see the fucking delivery period,"I want to change the information on my profile, how can I do it?","I want to obtain a bill, can you show me some information?","I want a refund, what should I do?",i want to know how I can receive the newsletter,"I have a problem paying for my online order, how can I inform of it?",,"my online account's been hacked, get it back",I found an issue while registering,"I want to make a comment for a service, can you help me?",,"please,  how to switch to another profile?",can you tell me where I can track my shipments?,I need help tracking my reimbursement
,"I want to change mypurchase, can you give me some information?",,how to view the cancellation fee,can you tell me about my bills?,"please,  how I could view their fucking payment options?",how do I check your reimbursement policy?,"I want to submit a consumer complaint, can youhlp me?","could u give me information about the email of the Customer Service, please?","I can't understand you, how do I speak with someone?",i want a profile and i wana create one,"I changed my mind, can I remove my profile?","i want to view the ticket delivery options, what can i do?",I need information about the delivery period, how to make changes ot the information on my fucking profile,"id like to get a fucking bill, can you tell me where to do it, please?","the event was postponed, what should I do to request a refund?",I want to know if theres a newsletter toi stay up-to-date,"I have a problem paying for my online order, can I  report it?",,can I retrieve my account password?,I had an problem registeringb,can I write a comment?,,how to switch to anoher online account,can I get the tracking no for my package?,"I want to sseethe status of my reimbursement, could you help me, please?"
,"I ordered a product, can I modify my purchase?",,"i want to check the cancellation penalty, what should i do?"," about my fucking bill, please?",I want to know if I can pay with credit cars, to give me information about their reimbursement policy,"I'm discontent with the service , I need help makign a consumer complaint","I have an question, what can I do to speak with Customer Support?",can you talk to a person?,can I create more than one profile with a single email address?,"I don't want my user account, what can I do to remove it?","I want to check the ticket delivery options, what should I do?",when will my tickets arrive?,how do I modify my profile?,tell me if I can see some bills,"the event was cancelled, can i get a refund?",tell me if theres a newsletter I can receive, if i can report a problem making a payment?,,I want to reset my account password,I found problems when trying to create a profile,where can I write an opinion?,,"i wanna use my other account, what should i do to change them?",I want to know how I can track my orders,"I want to know the status of my refund, help me track it"
,"I want to modify my order, can you tell me how I can do it?",,how do I see the cancellation fee?,"I didn't receive my bills, can you show them?",how can I view your payment options?,"I want to view your reimbursement policy, can you help me?","i dont like the service, how can ilodge a complaint?",can you find information about the mail address of the Client Service?,"I can't unedrstand you, how do I contact someone?","ive got o online account, what can i do?",how do I close my user account?,id like to check the options for delivery,can you tell me how fast I can expect my ticket to arrive?,"can you  how I could edit the information on my profile, please?", where I could see an invoice?,"I want a reimbursement, what can I do to get one ?",what can you tell me about receiving the newsletter?,i have a problem making a payment and i want to report it,,"someone stole my account password, what do I have to do to recover it?",I had problems while poening an account,"i am happy with the service, i need help making a review, please",,"i wanna use my other online account, what should i do to switch them?",where to check my packages,"I want to view the status of my reimbursement, what should I do?"
,I ordered something and id like to change my fucking purchase,,where can I see the cancellation penalties?,"I can't find my bill, help me check it"," where i can see their payment options, please?",can i see your money back guarantee?,i dont like the service and i wanna make a complaint,"I need information, I need help calling Customer Support","you're not helping, help me talk to a human","I've got no user account, what can I do?",can I close my user account?,"I want to see the ticket delivery options, what should I do?",how soon can i expect my ticket to arrive?, how to make changes to my profile?,information about downloading a bill,"the game was postponed, how can I get a refund?",I want to know how  to subscribe to the newsletter, how i can inform of a payment prolem?,,"my account's been hacked, can I get  it back?",,"please,  if I could write an opinion",,"I want to use my other account, can you change them?",can you  how to know where my fucking shipment is?,"i want to know the status of my reimbursement, help me track it"
